family,capacity,tie_policy,seed,misses,miss_ratio,delta_vs_LRU,delta_vs_current_exact,trace_sha256,fraction_tied_decisions,fraction_all_tied,mean_optimal_set_fraction
citibike,64,MRU_WITHIN_MINIMA,,24452,0.6113,8743,-226,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.502331097660723,0.9901829349337478
citibike,64,RANDOM_WITHIN_MINIMA,0,16109,0.402725,400,-8569,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.3720901359488485,0.9830451921286237
citibike,64,RANDOM_WITHIN_MINIMA,1,16123,0.403075,414,-8555,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.37201513365998884,0.9830037058860014
citibike,64,RANDOM_WITHIN_MINIMA,2,16104,0.4026,395,-8574,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.37152260307998014,0.9830506007824144
citibike,64,RANDOM_WITHIN_MINIMA,3,16153,0.403825,444,-8525,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.37150993623475514,0.9829791679564167
citibike,64,RANDOM_WITHIN_MINIMA,4,16166,0.40415,457,-8512,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.3719534826178399,0.9831165718173945
citibike,128,LRU_REFERENCE,,14217,0.355425,0,-10244,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,,,
citibike,128,CURRENT_DETERMINISTIC,,24461,0.611525,10244,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.5111401823310576,0.9951220182126651
citibike,128,LRU_WITHIN_MINIMA,,14197,0.354925,-20,-10264,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.3256321758117912,0.9903632809748538
citibike,128,MRU_WITHIN_MINIMA,,23799,0.594975,9582,-662,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.4582125299382327,0.9945362725324594
citibike,128,RANDOM_WITHIN_MINIMA,0,14780,0.3695,563,-9681,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.30825439783491204,0.9903707501691476
citibike,128,RANDOM_WITHIN_MINIMA,1,14721,0.368025,504,-9740,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.30751986957407784,0.9903103984104341
citibike,128,RANDOM_WITHIN_MINIMA,2,14777,0.369425,560,-9684,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.3093997428436083,0.9903582213913514
citibike,128,RANDOM_WITHIN_MINIMA,3,14769,0.369225,552,-9692,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.30516622655562325,0.9903260207190737
citibike,128,RANDOM_WITHIN_MINIMA,4,14693,0.367325,476,-9768,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.3001429252024774,0.9902169613081059
cloudphysics,32,LRU_REFERENCE,,39442,0.98605,0,-513,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,,,
cloudphysics,32,CURRENT_DETERMINISTIC,,39955,0.998875,513,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.997021649355525,0.9999069265423601
cloudphysics,32,LRU_WITHIN_MINIMA,,39420,0.9855,-22,-535,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9532217148655505,0.9983138318112633
cloudphysics,32,MRU_WITHIN_MINIMA,,39956,0.9989,514,1,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9969716688357193,0.9999053646511162
cloudphysics,32,RANDOM_WITHIN_MINIMA,0,39412,0.9853,-30,-543,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9507256673094489,0.9982706726377752
cloudphysics,32,RANDOM_WITHIN_MINIMA,1,39406,0.98515,-36,-549,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9519108765162666,0.9982783395929554
cloudphysics,32,RANDOM_WITHIN_MINIMA,2,39397,0.984925,-45,-558,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9505799934005127,0.9982430451557225
cloudphysics,32,RANDOM_WITHIN_MINIMA,3,39434,0.98585,-8,-521,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.952629710402191,0.9983136379773799
cloudphysics,32,RANDOM_WITHIN_MINIMA,4,39418,0.98545,-24,-537,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9520269927444315,0.9982986833426354
cloudphysics,64,LRU_REFERENCE,,38880,0.972,0,-1067,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,,,
cloudphysics,64,CURRENT_DETERMINISTIC,,39947,0.998675,1067,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9962199914887225,0.9999409373670113
cloudphysics,64,LRU_WITHIN_MINIMA,,38862,0.97155,-18,-1085,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.914595234419227,0.9984239102465133
cloudphysics,64,MRU_WITHIN_MINIMA,,39954,0.99885,1074,7,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.996771286980027,0.9999495513590629
cloudphysics,64,RANDOM_WITHIN_MINIMA,0,38997,0.974925,117,-950,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9178654768315512,0.9985451605251686
cloudphysics,64,RANDOM_WITHIN_MINIMA,1,39013,0.975325,133,-934,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9202829825955451,0.998578999307923
cloudphysics,64,RANDOM_WITHIN_MINIMA,2,39090,0.97725,210,-857,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.925530826298286,0.9986921207469941
cloudphysics,64,RANDOM_WITHIN_MINIMA,3,39053,0.976325,173,-894,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9234629861982434,0.9986416696540599
cloudphysics,64,RANDOM_WITHIN_MINIMA,4,39044,0.9761,164,-903,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9214219854523102,0.9986229478280914
cloudphysics,128,LRU_REFERENCE,,38237,0.955925,0,-1700,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,,,
cloudphysics,128,CURRENT_DETERMINISTIC,,39937,0.998425,1700,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9954428224453514,0.9999632233267396
cloudphysics,128,LRU_WITHIN_MINIMA,,38232,0.9558,-5,-1705,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.8718874241473111,0.9988117365688428
cloudphysics,128,MRU_WITHIN_MINIMA,,39937,0.998425,1700,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.9950672308886497,0.9999614627413176
cloudphysics,128,RANDOM_WITHIN_MINIMA,0,38572,0.9643,335,-1365,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.8874572228559577,0.99899173947423
cloudphysics,128,RANDOM_WITHIN_MINIMA,1,38562,0.96405,325,-1375,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.8857165084798506,0.9989740547689435
cloudphysics,128,RANDOM_WITHIN_MINIMA,2,38582,0.96455,345,-1355,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.8892747913534809,0.9990067826317972
cloudphysics,128,RANDOM_WITHIN_MINIMA,3,38531,0.963275,294,-1406,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.885702421426903,0.9989624831304664
cloudphysics,128,RANDOM_WITHIN_MINIMA,4,38559,0.963975,322,-1378,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,1.0,0.8860447625716434,0.9989737723359008
metacdn,32,LRU_REFERENCE,,23207,0.580175,0,-3239,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,,,
metacdn,32,CURRENT_DETERMINISTIC,,26446,0.66115,3239,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.4907358390682901,0.9811880813733646
metacdn,32,LRU_WITHIN_MINIMA,,23173,0.579325,-34,-3273,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.2232770897164804,0.9681188775730376
metacdn,32,MRU_WITHIN_MINIMA,,27904,0.6976,4697,1458,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.5837155963302753,0.9859495950401376
metacdn,32,RANDOM_WITHIN_MINIMA,0,23787,0.594675,580,-2659,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.26237020221129187,0.9705288077521336
metacdn,32,RANDOM_WITHIN_MINIMA,1,23738,0.59345,531,-2708,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.2584042463560536,0.9703323784649086
metacdn,32,RANDOM_WITHIN_MINIMA,2,23796,0.5949,589,-2650,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.2673138342578585,0.9706397608841822
metacdn,32,RANDOM_WITHIN_MINIMA,3,23798,0.59495,591,-2648,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.26392974199512564,0.9705187935961005
metacdn,32,RANDOM_WITHIN_MINIMA,4,23768,0.5942,561,-2678,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.2595506563446651,0.9704395090037025
metacdn,64,LRU_REFERENCE,,22586,0.56465,0,-3443,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,,,
metacdn,64,CURRENT_DETERMINISTIC,,26029,0.650725,3443,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.4653655538053709,0.9899361049214338
metacdn,64,LRU_WITHIN_MINIMA,,22571,0.564275,-15,-3458,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.20340259625182758,0.9830894732178459
metacdn,64,MRU_WITHIN_MINIMA,,27903,0.697575,5317,1874,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.5835573235852776,0.9929723058452496
metacdn,64,RANDOM_WITHIN_MINIMA,0,23085,0.577125,499,-2944,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.2272471301711068,0.9840020576131687
metacdn,64,RANDOM_WITHIN_MINIMA,1,23063,0.576575,477,-2966,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.23132289814854962,0.9840572562112474
metacdn,64,RANDOM_WITHIN_MINIMA,2,23055,0.576375,469,-2974,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.22949468661895467,0.9839988614183475
metacdn,64,RANDOM_WITHIN_MINIMA,3,23062,0.57655,476,-2967,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.22808082560055504,0.983980004986558
metacdn,64,RANDOM_WITHIN_MINIMA,4,23084,0.5771,498,-2945,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.22898977646854965,0.9840440077542887
metacdn,128,LRU_REFERENCE,,21952,0.5488,0,-3672,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,,,
metacdn,128,CURRENT_DETERMINISTIC,,25624,0.6406,3672,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.44056353418669997,0.9946296684748673
metacdn,128,LRU_WITHIN_MINIMA,,21949,0.548725,-3,-3675,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.18506537883274865,0.991042089047337
metacdn,128,MRU_WITHIN_MINIMA,,27898,0.69745,5946,2274,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.5831959280235143,0.996481602623844
metacdn,128,RANDOM_WITHIN_MINIMA,0,22392,0.5598,440,-3232,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.1997588424437299,0.9914157399964273
metacdn,128,RANDOM_WITHIN_MINIMA,1,22422,0.56055,470,-3202,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.20506645259120507,0.9914526608910891
metacdn,128,RANDOM_WITHIN_MINIMA,2,22365,0.559125,413,-3259,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.1989268947015426,0.9913976917057903
metacdn,128,RANDOM_WITHIN_MINIMA,3,22374,0.55935,422,-3250,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.2046571913828551,0.9914105798024493
metacdn,128,RANDOM_WITHIN_MINIMA,4,22394,0.55985,442,-3230,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,1.0,0.20219701705814058,0.9914245305662231
metakv,32,LRU_REFERENCE,,30569,0.764225,0,-123,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,,,
metakv,32,CURRENT_DETERMINISTIC,,30692,0.7673,123,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,1.0,0.8961618662843738,0.9966002948651115
