capacity,delta_vs_lru,diagnostics_count,held_out_family,miss_ratio,misses,model_sha256,objective,seed,trace_sha256,validation_mean_regret,victim_sequence_sha256
64,,0,metacdn,0.572975,22919,72633e4159027e125cf1cb19f36eb59a56f7a0ea8da1a455c15c278e0d3a68b5,objective_eviction_loss,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,11d48782f8517b034669e4a78ed68c0148a0f5fae93c404d13b9b4a011d2f93c
64,,0,metacdn,0.743925,29757,08b77a1c8842bb814fd465f6578cf40d2f4d45d587884ec033a52edcbcb73579,objective_next_arrival,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,f7e61d28437dee43f58f6a2d945d9901459509be209691f3650e4b12569e12bb
64,,0,metacdn,0.71465,28586,4e5d5baa3b8fe2e6c3b095f88b89db26bb0a8985a75f7231c61c0594f12704c5,objective_reuse_distance,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,db89b569f7e55fe8f33b60baf9f8a0705ab20b43473f47d69ffdc8342c4b441e
64,,0,metacdn,0.564575,22583,7a9737bd43ea2998771bec87740fe32ef4a5636d30b1b5b8bc7c3e785957fbf4,objective_pairwise,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,69f1b2614b286d87855ee666c76a62914e1694a40523d885ec31211da679d89b
128,,0,metacdn,0.57335,22934,50286941c938a5694d86c73c467c316992be41193191e52e4778e27bc2b98bf5,objective_eviction_loss,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.05,ebd8a14c6f2ce3e4c15ce8c6963bd077878aa2ae99451f414ed3f661437af7ec
128,,0,metacdn,0.71205,28482,cef3fa7d33752ede6459ffad2493aaf34eda49ff78365f2212468e74f50e0cb8,objective_next_arrival,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,4599a10638ef01781f750be5f86ebb0c7da6cad5e542fd09dcdff1a3fab9258f
128,,0,metacdn,0.693575,27743,4994c23cd11733883b1554c3b1267b0a9326d3073e12ec37a33c77f7dfaa716c,objective_reuse_distance,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,0cf1a1b7303755e84f8e3598627238166814c612fd741bc2a8dbc472be1de80a
128,,0,metacdn,0.548925,21957,9d427e95bd7440bed9bc282b9aaee80dc3fd463931e8edef4dc660d54bc2a7bc,objective_pairwise,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,955f6649aad43f298f8eb1615367619321735f7aad70bb84ef4c9ef39c577350
32,,0,metakv,0.7642,30568,74b6d9dce371b928fa73de7ff4a1cbf2e389f2dba431fbbdc6b718bb0d7abcdb,objective_eviction_loss,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,f8893bcffe473df4c13cec04ed1fc10ed6c32fc6720173977844c4b8acbc595d
32,,0,metakv,0.7661,30644,7baf83b16933d2a09c373b64c70cdff4e7712854c715a75039331eeca535ac48,objective_next_arrival,0,4c229e841d546cd57a2edb6e3ddc53461ff4dc03d366e9d24e4239a89db7e0de,0.0,2e9837255fcf2261b2017a4f13283e2b2d06065633b5a579415d3bd93721c5ab
