job_label,instance_id,mode,ranking_mode,k,trace_len,trace,lemma,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task13_random,14938,random,adv_bias,6,105,"p9,p9,p4,p9,p3,p9,p7,p3,p1,p9,p1,p2,p1,p2,p4,p1,p5,p1,p9,p3,p9,p9,p7,p9,p7,p5,p3,p5,p9,p9,p3,p9,p9,p7,p9,p0,p9,p6,p9,p3,p3,p3,p6,p3,p7,p3,p6,p8,p3,p1,p6,p3,p6,p1,p3,p0,p3,p3,p8,p3,p8,p1,p6,p1,p8,p2,p8,p7,p8,p0,p1,p6,p7,p4,p8,p7,p3,p0,p7,p8,p6,p0,p4,p8,p7,p2,p7,p3,p0,p7,p0,p7,p8,p8,p0,p2,p9,p2,p9,p7,p1,p2,p7,p9,p8",lemma1_chain_monotone,ph7_c0,7,3,0,False,False,p0,"p0,p3,p4,p5,p6",,"1000000000000,1000000000000,1000000000000"
campaign_r1_task13_random,14938,random,adv_bias,6,105,"p9,p9,p4,p9,p3,p9,p7,p3,p1,p9,p1,p2,p1,p2,p4,p1,p5,p1,p9,p3,p9,p9,p7,p9,p7,p5,p3,p5,p9,p9,p3,p9,p9,p7,p9,p0,p9,p6,p9,p3,p3,p3,p6,p3,p7,p3,p6,p8,p3,p1,p6,p3,p6,p1,p3,p0,p3,p3,p8,p3,p8,p1,p6,p1,p8,p2,p8,p7,p8,p0,p1,p6,p7,p4,p8,p7,p3,p0,p7,p8,p6,p0,p4,p8,p7,p2,p7,p3,p0,p7,p0,p7,p8,p8,p0,p2,p9,p2,p9,p7,p1,p2,p7,p9,p8",lemma2_head_bound,ph7_c0,7,3,0,False,False,p0,"p0,p3,p4,p5,p6",,"1000000000000,1000000000000,1000000000000"
campaign_r1_task13_random,14941,random,adv_bias,6,106,"p4,p1,p0,p3,p4,p4,p4,p4,p5,p1,p4,p4,p6,p3,p5,p2,p3,p0,p3,p3,p3,p3,p6,p3,p3,p0,p3,p3,p3,p0,p1,p4,p3,p6,p6,p2,p4,p5,p4,p0,p0,p4,p5,p6,p5,p5,p5,p5,p4,p0,p6,p2,p0,p0,p1,p6,p3,p6,p3,p6,p4,p4,p1,p4,p3,p4,p4,p3,p0,p3,p3,p4,p5,p1,p2,p6,p2,p5,p4,p2,p3,p2,p3,p2,p4,p6,p5,p5,p1,p3,p5,p4,p6,p5,p6,p2,p4,p5,p6,p0,p2,p2,p0,p5,p6,p6",lemma1_chain_monotone,ph5_c0,5,2,4,False,True,p5,"p1,p3,p4,p5,p6","p1,p3,p4,p6","3,1"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma1_chain_monotone,ph1_c0,1,3,3,False,True,p5,"p1,p5,p6,p7","p1,p6,p7","2,4,1"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma1_chain_monotone,ph3_c0,3,2,3,False,True,p6,"p0,p1,p6,p7","p0,p1,p7","5,5"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma1_chain_monotone,ph3_c1,3,2,0,False,False,p1,"p0,p1",,"7,5"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma2_head_bound,ph3_c1,3,2,0,False,False,p1,"p0,p1",,"7,5"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma1_chain_monotone,ph4_c0,4,2,3,False,True,p5,"p2,p3,p5,p8","p2,p3,p8","8,8"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma1_chain_monotone,ph5_c0,5,2,0,False,False,p8,"p1,p3,p6,p8",,"1000000000000,1000000000000"
campaign_r1_task13_random,14950,random,adv_bias,5,56,"p1,p1,p7,p1,p6,p1,p2,p5,p4,p0,p2,p5,p6,p6,p1,p6,p6,p6,p0,p8,p8,p6,p3,p3,p8,p2,p5,p4,p8,p3,p4,p6,p7,p6,p4,p0,p1,p4,p0,p4,p0,p5,p2,p0,p7,p0,p0,p0,p4,p7,p0,p0,p0,p4,p0,p0",lemma2_head_bound,ph5_c0,5,2,0,False,False,p8,"p1,p3,p6,p8",,"1000000000000,1000000000000"
