decision_id,request_t,h_long,tie_set_size,long_min,long_max,long_spread,tied_set_broken,deterministic_choice,deterministic_long_value,deterministic_is_long_best,deterministic_long_regret,learned_choice,learned_choice_in_h4_tie,learned_long_value,learned_is_long_best,learned_long_regret
brightkite_50k|cap=64|t=10063,10063,8,63,2.0,2.0,0.0,no,27af635aad64ab1fd8d1204b3f139869,2.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,2.0,yes,0.0
brightkite_50k|cap=64|t=10063,10063,16,63,7.0,7.0,0.0,no,27af635aad64ab1fd8d1204b3f139869,7.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10063,10063,32,63,12.0,12.0,0.0,no,27af635aad64ab1fd8d1204b3f139869,12.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,12.0,yes,0.0
brightkite_50k|cap=64|t=10066,10066,8,64,4.0,4.0,0.0,no,1ed97036ceeede1230f53d70155abf8a,4.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10066,10066,16,64,7.0,8.0,1.0,yes,1ed97036ceeede1230f53d70155abf8a,7.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10066,10066,32,64,12.0,13.0,1.0,yes,1ed97036ceeede1230f53d70155abf8a,12.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,12.0,yes,0.0
brightkite_50k|cap=64|t=10071,10071,8,63,5.0,5.0,0.0,no,936803c688b911ddb2bf0030487eb504,5.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,5.0,yes,0.0
brightkite_50k|cap=64|t=10071,10071,16,63,9.0,9.0,0.0,no,936803c688b911ddb2bf0030487eb504,9.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,9.0,yes,0.0
brightkite_50k|cap=64|t=10071,10071,32,63,14.0,14.0,0.0,no,936803c688b911ddb2bf0030487eb504,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10072,10072,8,63,4.0,4.0,0.0,no,082365bc3cfd3e14151730aae9c7feec,4.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10072,10072,16,63,8.0,8.0,0.0,no,082365bc3cfd3e14151730aae9c7feec,8.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,8.0,yes,0.0
brightkite_50k|cap=64|t=10072,10072,32,63,14.0,14.0,0.0,no,082365bc3cfd3e14151730aae9c7feec,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10073,10073,8,63,3.0,3.0,0.0,no,e466773c61d979486b281b6394a724f4,3.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,3.0,yes,0.0
brightkite_50k|cap=64|t=10073,10073,16,63,8.0,8.0,0.0,no,e466773c61d979486b281b6394a724f4,8.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,8.0,yes,0.0
brightkite_50k|cap=64|t=10073,10073,32,63,14.0,14.0,0.0,no,e466773c61d979486b281b6394a724f4,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10074,10074,8,63,3.0,3.0,0.0,no,1a85b1e9506e091d0c0a7e55a153ffc5,3.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,3.0,yes,0.0
brightkite_50k|cap=64|t=10074,10074,16,63,7.0,7.0,0.0,no,1a85b1e9506e091d0c0a7e55a153ffc5,7.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10074,10074,32,63,14.0,14.0,0.0,no,1a85b1e9506e091d0c0a7e55a153ffc5,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10076,10076,8,63,3.0,3.0,0.0,no,44a22ea8bde35cba2de58302dfafdc59,3.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,3.0,yes,0.0
brightkite_50k|cap=64|t=10076,10076,16,63,6.0,6.0,0.0,no,44a22ea8bde35cba2de58302dfafdc59,6.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,6.0,yes,0.0
brightkite_50k|cap=64|t=10076,10076,32,63,14.0,14.0,0.0,no,44a22ea8bde35cba2de58302dfafdc59,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10079,10079,8,63,4.0,4.0,0.0,no,4098cba56208c20a37e77e2e7c5e7515,4.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,4.0,yes,0.0
